title,time,county,link,img_url,content,town
性愛行事曆曝光 他偷吃女同事89次 妻斥貪齊人之福,2024/6/2 20:49,高雄,https://news.ltn.com.tw/news/society/breakingnews/4692889,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692889_1_1.jpg,〔記者鮑建信／高雄報導〕保險公司曾姓職員偷吃黃姓女同事後，將嘿咻次數、旅館名稱、約會時間等過程，詳細記錄在行事曆留作紀念，被其妻發現後大怒求償200萬元，高等法院高雄分院判決2人共賠償20萬元。,無相符區域
砸地影像曝！台中西屯大樓突下磁磚雨 小黃停紅燈衰被擊中,2024/6/2 20:48,台中,https://news.ltn.com.tw/news/society/breakingnews/4692883,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692883_2_1.jpg,〔記者許國楨／台中報導〕台中市西屯區一棟大樓外牆，昨因不明原因突下起「磁磚雨」，一大片磁磚剝落後直接掉落地面，當場砸中一輛正在停等紅燈的小黃，造成車頂多處凹陷，警方獲報趕往交管，所幸當時沒有機車或行人行經遭波及，而小黃運將也當場與大樓管委會達成和解，虛驚一場。,西屯
宜縣性騷常客犯後有悔意積極治療？ 獲輕判躲過牢獄之災,2024/6/2 20:17,宜蘭,https://news.ltn.com.tw/news/society/breakingnews/4692871,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692871_1_1.jpg,〔記者江志雄／宜蘭報導〕宜蘭縣39歲李姓男子有多次違反性騷擾防治法前科，今年3月又在羅東夜市伸出鹹豬手，檢察官將他起訴，求刑有期徒刑8月，一審法官認為，李男犯後已有悔意，且積極尋求治療，處有期徒刑6月，併科罰金5萬元，有期徒刑可易科18萬元罰金，李男因此躲過牢獄之災。,羅東
雲林火警救出4人！3歲男童戴共生面罩不哭鬧 眾人誇讚：好勇敢,2024/6/2 19:53,雲林,https://news.ltn.com.tw/news/society/breakingnews/4692805,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692805_2_1.jpg,〔記者李文德／雲林報導〕雲林縣斗南鎮西伯里一處民宅，今天中午1點多，疑似煮飯不慎起火，瞬間廚房濃煙密布，4名人員受困家中2樓陽台。消防人員立即到場全力滅火，更由消防員使用共生面罩，將受困人員救出。其中一名年僅3歲的小男童戴上面罩時，表現得非常冷靜，不慌不忙配合消防人員，被現場人員誇讚「超勇敢」。,斗南
詭譎！乩童起乩突倒地不起 幼教師緊急CPR送醫仍不治,2024/6/2 19:10,嘉義,https://news.ltn.com.tw/news/society/breakingnews/4692828,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692828_1_1.jpg,〔記者蔡宗勳／嘉義報導〕台中地區某宮廟昨（1）日中午到嘉義縣梅山鄉玉虛宮進香，兩位男乩童在廟前起乩時，後方裸露上身的乩童突「扑街」陷入昏迷，懂得急救的幼兒園老師陳怡真見狀立即衝上前做CPR，但嘉縣消防局獲報到場救援已無呼吸心跳，送往嘉義大林慈濟醫院急救仍告不治。,"大林,梅山"
划算？17次販毒所得1.3萬 苗栗男遭重判87年2個月,2024/6/2 18:38,苗栗,https://news.ltn.com.tw/news/society/breakingnews/4692804,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692804_1_1.jpg,〔記者彭健禮／苗栗報導〕苗栗縣邱姓男子於1個月餘間，販售微量到1公克不等的二級毒品安非他命17次，收取1萬3000元，並2次轉讓數量不詳的一級毒品海洛因、安非他命被逮。邱男被苗栗地方法院依犯17次販售第二級毒品罪，判刑87年2個月；另犯1次轉讓第一級毒品罪被判刑1年2個月、1次轉讓禁藥罪被判刑7個月。併應執行有期徒刑8年。,無相符區域
幸運兒是誰？彰化和美大樂透1億元得主曝光,2024/6/2 18:10,彰化,https://news.ltn.com.tw/news/society/breakingnews/4692782,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692782_1_1.jpg,〔記者湯世名／彰化報導〕幸運兒是誰？彰化縣和美鎮彰新路「熊福氣彩券行」5月28日開出大樂透頭獎一注獨得，獎金高達1億元，連日來地方都在猜「是誰中獎？」業者則透露，傳聞幸運兒是在地的1名阿嬤，但也有人認為是1名外籍移工，不論是誰都恭喜得獎。,和美
畢業證書無法親領！台東小六童遭鐵捲門壓死 畢典留位子給他,2024/6/2 17:59,台東,https://news.ltn.com.tw/news/society/breakingnews/4692779,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692779_1_1.jpg,〔記者劉人瑋／台東報導〕台東市12歲楊姓少年即將畢業升國中，昨（1日）剛離開家門又復返，不幸被自家鐵捲門夾住胸部送醫不治身亡，讓家屬悲痛欲絕。學校校長難過表示，一路看他個性愈來愈好，因此特地設立「最佳潛力獎」在畢業典禮上頒發，如今本人卻永遠無法親自受獎，但依然會為他留下了空位。,台東市
鸚鵡飛失疑認錯主人停錯肩 高雄警助飼主尋獲團圓,2024/6/2 17:58,高雄,https://news.ltn.com.tw/news/society/breakingnews/4692772,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692772_1_1.jpg,〔記者黃良傑／高雄報導〕高雄王姓男子飼養2隻黃化玄鳳鸚鵡，疼愛有加，不料外出散步時，其中1隻「美美」疑受驚嚇飛失，飼主著急自責，「美美」飛到路人肩膀，被帶至派出所報案協尋，員警發現牠的腳環有一組號碼，試打聯絡，幸運找到牠的主人，人鳥終於重逢，王男頻向警方道謝。,無相符區域
辣椒水攻擊老闆嗆「你攤位不要做了」 基隆男遭判刑3個月,2024/6/2 17:49,基隆,https://news.ltn.com.tw/news/society/breakingnews/4692748,https://img.ltn.com.tw/Upload/news/600/2024/06/02/4692748_1_1.jpg,〔記者吳昇儒／基隆報導〕男子陳威丞與友人林志燁前年3月間，到基隆廟口夜市用餐時，因拿隔壁攤販椅子，引起老闆不滿，進而發生口角。陳、林二人輪流丟擲桌上的碗，還嗆自己是廟口小孩，要老闆不要做了；陳男更拿出辣椒水及碗攻擊對方。基隆地院近日審結，認定陳男觸犯傷害及恐嚇危害安全罪，分別判處有期徒刑2月、35天，均得易科罰金。,無相符區域
